t_ps,Delta_live_meV,Delta_fold_of_A_meV,g1,A_um_inv,lorentzian,mu_nl_meV
2.620000000000000107e-01,6.037821543729402496e-01,2.127640311523771866e-01,8.753721888550891617e-01,1.443279370313936161e+00,9.843545681974545936e-01,-4.049321468841663579e-02
2.640000000000000124e-01,6.038347228215241724e-01,2.126013366699324170e-01,8.753923194472421621e-01,1.443592148070149017e+00,9.839236720861189722e-01,-4.091231557299862542e-02
2.660000000000000142e-01,6.038872669251831304e-01,2.124386838394428934e-01,8.754126546703735468e-01,1.443904845751088795e+00,9.834874165853667582e-01,-4.112613284581807804e-02
2.680000000000000160e-01,6.039397895857230303e-01,2.122760739037801714e-01,8.754335907503987269e-01,1.444217460967353261e+00,9.830458001408390878e-01,-4.098671382864263468e-02
2.700000000000000178e-01,6.039922947728439961e-01,2.121135081083190266e-01,8.754553351030707198e-01,1.444529991324727591e+00,9.825988109595255038e-01,-4.050383107301507024e-02
2.720000000000000195e-01,6.040447876872456767e-01,2.119509877031809375e-01,8.754778408758043806e-01,1.444842434419871591e+00,9.821464250446522160e-01,-3.984632165327296055e-02
2.740000000000000213e-01,6.040972749330639768e-01,2.117885139458929311e-01,8.755008488573423620e-01,1.445154787835208010e+00,9.816886040517363021e-01,-3.921726102508410472e-02
2.760000000000000231e-01,6.041497644080846552e-01,2.116260881040338548e-01,8.755240123996148593e-01,1.445467049133835058e+00,9.812252955483936612e-01,-3.877505939609818264e-02
2.780000000000000249e-01,6.042022650265826966e-01,2.114637114575817767e-01,8.755469629760247452e-01,1.445779215855013788e+00,9.807564348518519326e-01,-3.862575381098742877e-02
2.800000000000000266e-01,6.042547865712158961e-01,2.113013853011349308e-01,8.755693413197935815e-01,1.446091285509897961e+00,9.802819458708573741e-01,-3.874771103080244805e-02
2.820000000000000284e-01,6.043073395256980396e-01,2.111391109459515303e-01,8.755909150088534432e-01,1.446403255577612956e+00,9.798017422191281911e-01,-3.895201561351030461e-02
2.840000000000000302e-01,6.043599345741343942e-01,2.109768897212239425e-01,8.756117337657560729e-01,1.446715123502805955e+00,9.793157315317496669e-01,-3.905696342325768594e-02
2.860000000000000320e-01,6.044125821005568167e-01,2.108147229745154783e-01,8.756321574889629478e-01,1.447026886694806169e+00,9.788238200895087449e-01,-3.906161305068447942e-02
2.880000000000000338e-01,6.044652922839260922e-01,2.106526120723240803e-01,8.756527042953486939e-01,1.447338542526541483e+00,9.783259120950476007e-01,-3.904669764643474428e-02
2.899999999999999800e-01,6.045180755905665837e-01,2.104905584014834241e-01,8.756738212879686678e-01,1.447650088331844387e+00,9.778219050731634665e-01,-3.900230161713535981e-02
2.919999999999999818e-01,6.045709429853203254e-01,2.103285633709710278e-01,8.756957204982223075e-01,1.447961521401976315e+00,9.773116876963654498e-01,-3.886402945233136119e-02
2.939999999999999836e-01,6.046239057615642176e-01,2.101666284134652840e-01,8.757183503689150994e-01,1.448272838982634036e+00,9.767951412173421222e-01,-3.862475913002000327e-02
2.959999999999999853e-01,6.046769753014599180e-01,2.100047549864997309e-01,8.757414813070136805e-01,1.448584038271730767e+00,9.762721416963306975e-01,-3.831544828577190809e-02
2.979999999999999871e-01,6.047301627793457701e-01,2.098429445730770615e-01,8.757648487620649513e-01,1.448895116418215556e+00,9.757425629432330272e-01,-3.794418326870147018e-02
2.999999999999999889e-01,6.047834787684051028e-01,2.096811986815199369e-01,8.757882660204076020e-01,1.449206070522360168e+00,9.752062806173099618e-01,-3.752501681953876456e-02
3.019999999999999907e-01,6.048369330184351078e-01,2.095195188448287227e-01,8.758115985002299375e-01,1.449516897636993873e+00,9.746631748179456212e-01,-3.713889822294431931e-02
3.039999999999999925e-01,6.048905345635876563e-01,2.093579066201490813e-01,8.758346392497747823e-01,1.449827594768527073e+00,9.741131294060729751e-01,-3.691456641174267750e-02
3.059999999999999942e-01,6.049442919604480773e-01,2.091963635886171791e-01,8.758570984319835606e-01,1.450138158877248618e+00,9.735560299009340390e-01,-3.692164992896289355e-02
3.079999999999999960e-01,6.049982134261571165e-01,2.090348913554196109e-01,8.758787629210665893e-01,1.450448586877210788e+00,9.729917622818138323e-01,-3.710305940301782124e-02
3.099999999999999978e-01,6.050523067974785674e-01,2.088734915497318656e-01,8.758996254269079129e-01,1.450758875636347645e+00,9.724202136059357793e-01,-3.735292942988869408e-02
3.119999999999999996e-01,6.051065793773210411e-01,2.087121658243022426e-01,8.759198989148977432e-01,1.451069021977274831e+00,9.718412738569545128e-01,-3.761382820346578088e-02
3.140000000000000013e-01,6.051610378501155463e-01,2.085509158547998732e-01,8.759400116614501908e-01,1.451379022678543018e+00,9.712548371412975667e-01,-3.783350595737528660e-02
3.160000000000000031e-01,6.052156882582264696e-01,2.083897433390415610e-01,8.759605082951863464e-01,1.451688874476124269e+00,9.706608022690172977e-01,-3.792134954129328800e-02
3.180000000000000049e-01,6.052705358023812154e-01,2.082286499957269055e-01,8.759817593452493556e-01,1.451998574065843872e+00,9.700590752882589651e-01,-3.784869612144929618e-02
3.200000000000000067e-01,6.053255845906738708e-01,2.080676375625452879e-01,8.760037659423026701e-01,1.452308118107019430e+00,9.694495727126524187e-01,-3.768195757510559019e-02
