t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
8.050000000000000711e+00,1.371296246670818286e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.099999999999999645e+00,1.371296248790263794e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.150000000000000355e+00,1.371296250909709302e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
8.200000000000001066e+00,1.371296245049648865e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.250000000000000000e+00,1.371296247169094373e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.300000000000000711e+00,1.371296249288539881e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.349999999999999645e+00,1.371296251407985389e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
8.400000000000000355e+00,1.371296245547924952e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.450000000000001066e+00,1.371296247667370460e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.500000000000000000e+00,1.371296249786815968e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.550000000000000711e+00,1.371296251906261476e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
8.599999999999999645e+00,1.371296246046201039e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.650000000000000355e+00,1.371296248165646547e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.700000000000001066e+00,1.371296250285092055e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
8.750000000000000000e+00,1.371296244425031619e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.800000000000000711e+00,1.371296246544476904e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.849999999999999645e+00,1.371296248663922412e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
8.900000000000000355e+00,1.371296250783367920e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
8.950000000000001066e+00,1.371296244923307484e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.371296247042752992e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.050000000000000711e+00,1.371296249162198500e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.099999999999999645e+00,1.371296251281644007e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
9.150000000000000355e+00,1.371296245421583571e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.200000000000001066e+00,1.371296247541029079e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.250000000000000000e+00,1.371296249660474587e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.300000000000000711e+00,1.371296251779920095e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
9.349999999999999645e+00,1.371296245919859658e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.400000000000000355e+00,1.371296248039305166e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.450000000000001066e+00,1.371296250158750674e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
9.500000000000000000e+00,1.371296244298690237e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.550000000000000711e+00,1.371296246418135523e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.600000000000001421e+00,1.371296248537581031e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.650000000000000355e+00,1.371296250657026539e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
9.700000000000001066e+00,1.371296244796966102e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.750000000000000000e+00,1.371296246916411610e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.800000000000000711e+00,1.371296249035857118e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.850000000000001421e+00,1.371296251155302626e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
9.900000000000000355e+00,1.371296245295242189e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
9.950000000000001066e+00,1.371296247414687697e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.371296249534133205e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.005000000000000071e+01,1.371296251653578713e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.010000000000000142e+01,1.371296245793518276e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.015000000000000036e+01,1.371296247912963784e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.020000000000000107e+01,1.371296250032409292e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.025000000000000000e+01,1.371296244172348855e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.030000000000000071e+01,1.371296246291794141e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.035000000000000142e+01,1.371296248411239649e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.040000000000000036e+01,1.371296250530685157e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.045000000000000107e+01,1.371296244670624720e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.050000000000000000e+01,1.371296246790070228e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.055000000000000071e+01,1.371296248909515736e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.060000000000000142e+01,1.371296251028961244e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
1.065000000000000036e+01,1.371296245168900807e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.070000000000000107e+01,1.371296247288346315e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.075000000000000000e+01,1.371296249407791823e+00,2.460703367687999688e-01,5.935253069445771690e-01,0.000000000000000000e+00
1.080000000000000071e+01,1.371296251527237331e+00,2.460702995681999794e-01,5.935234407076802610e-01,0.000000000000000000e+00
