# ell  K  y  alpha  alpha_over_ac
4.833333333333333037e+00 4.271214653921846072e+00 1.473651068632570789e-26 3.704064343778035867e-02 2.035310267494534475e-01
4.866666666666666252e+00 4.271214653921846072e+00 1.007177635488580404e-26 3.704064343778035867e-02 2.035310267494534475e-01
4.900000000000000355e+00 4.271214653921846072e+00 6.883842497247309514e-27 3.704064343778035867e-02 2.035310267494534475e-01
4.933333333333333570e+00 4.271214653921846072e+00 4.704565789573436681e-27 3.704064343778035867e-02 2.035310267494534475e-01
4.966666666666666785e+00 4.271214653921846072e+00 3.215370007731770967e-27 3.704064343778035867e-02 2.035310267494534475e-01
5.000000000000000000e+00 4.271214653921846072e+00 2.197636238503387942e-27 3.704064343778035867e-02 2.035310267494534475e-01
5.033333333333333215e+00 4.271214653921846072e+00 1.501911798493963979e-27 3.704064343778035867e-02 2.035310267494534475e-01
5.066666666666666430e+00 4.271214653921846072e+00 1.026492638670026710e-27 3.704064343778035867e-02 2.035310267494534475e-01
5.099999999999999645e+00 4.271214653921846072e+00 7.015856389385093599e-28 3.704064343778035867e-02 2.035310267494534475e-01
5.133333333333332860e+00 4.271214653921846072e+00 4.794786918390405579e-28 3.704064343778035867e-02 2.035310267494534475e-01
5.166666666666666963e+00 4.271214653921846072e+00 3.277032300201896636e-28 3.704064343778035867e-02 2.035310267494534475e-01
5.200000000000000178e+00 4.271214653921846072e+00 2.239781089066680270e-28 3.704064343778035867e-02 2.035310267494534475e-01
5.233333333333333393e+00 4.271214653921846072e+00 1.530714494407769676e-28 3.704064343778035867e-02 2.035310267494534475e-01
5.266666666666666607e+00 4.271214653921846072e+00 1.046178052526565786e-28 3.704064343778035867e-02 2.035310267494534475e-01
5.299999999999999822e+00 4.271214653921846072e+00 7.150401958812687352e-29 3.704064343778035867e-02 2.035310267494534475e-01
5.333333333333333037e+00 4.271214653921846072e+00 4.886738249833684822e-29 3.704064343778035867e-02 2.035310267494534475e-01
5.366666666666666252e+00 4.271214653921846072e+00 3.339877112352072909e-29 3.704064343778035867e-02 2.035310267494534475e-01
5.400000000000000355e+00 4.271214653921846072e+00 2.282734166395567770e-29 3.704064343778035867e-02 2.035310267494534475e-01
5.433333333333333570e+00 4.271214653921846072e+00 1.560069549849435305e-29 3.704064343778035867e-02 2.035310267494534475e-01
5.466666666666666785e+00 4.271214653921846072e+00 1.066240980555253085e-29 3.704064343778035867e-02 2.035310267494534475e-01
