# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
2.289984991438802076e-01 5.151571809420000259e-01 4.482553305901197938e-01 4.812374070250781122e-01 1.817956018219515357e-01
2.357137608945749363e-01 5.209278145300000329e-01 4.521339974788834981e-01 4.863139318503253428e-01 1.817956018219515357e-01
2.426259441995546606e-01 5.268053260010000516e-01 4.560691233939456746e-01 4.913700236106262609e-01 1.817956018219515357e-01
2.497408236808641435e-01 5.327917816639999860e-01 4.600615301696482362e-01 4.964050118966329417e-01 1.817956018219515357e-01
2.570643432983331644e-01 5.388892873249999660e-01 4.641120516031981280e-01 5.014182461432873383e-01 1.817956018219515357e-01
2.646026213153176432e-01 5.450999867289999523e-01 4.682215336288012009e-01 5.064090955413755868e-01 1.817956018219515357e-01
2.723619554100616402e-01 5.514260661419999598e-01 4.723908344943330562e-01 5.113769489346875474e-01 1.817956018219515357e-01
2.803488279369445446e-01 5.578697531080000216e-01 4.766208249405803343e-01 5.163212147034421662e-01 1.817956018219515357e-01
2.885699113420118200e-01 5.644333124970000171e-01 4.809123883830903612e-01 5.212413206346276917e-01 1.817956018219515357e-01
2.970320737373157161e-01 5.711190576729999746e-01 4.852664210966697311e-01 5.261367137799056737e-01 1.817956018219515357e-01
3.057423846387184452e-01 5.779293381640000504e-01 4.896838324025671874e-01 5.310068603017044087e-01 1.817956018219515357e-01
3.147081208719528789e-01 5.848665531579999577e-01 4.941655448583811006e-01 5.358512453081248905e-01 1.817956018219515357e-01
3.239367726518783686e-01 5.919331401930000292e-01 4.987124944507321800e-01 5.406693726772708875e-01 1.817956018219515357e-01
3.334360498400048001e-01 5.991315868950000123e-01 5.033256307907403304e-01 5.454607648715971147e-01 1.817956018219515357e-01
3.432138883855166966e-01 6.064644210949999836e-01 5.080059173123465666e-01 5.502249627428612566e-01 1.817956018219515357e-01
3.532784569551752352e-01 6.139342207379999694e-01 5.127543314735221180e-01 5.549615253282531580e-01 1.817956018219515357e-01
3.636381637576420189e-01 6.215436086550000239e-01 5.175718649604067467e-01 5.596700296382587370e-01 1.817956018219515357e-01
3.743016635679197734e-01 6.292952548789999545e-01 5.224595238944180764e-01 5.643500704368036303e-01 1.817956018219515357e-01
3.852778649577803805e-01 6.371918777149999658e-01 5.274183290423752890e-01 5.690012600142083654e-01 1.817956018219515357e-01
3.965759377382257478e-01 6.452362444800000540e-01 5.324493160296825955e-01 5.736232279534747569e-01 1.817956018219515357e-01
4.082053206201906592e-01 6.534311701120000260e-01 5.375535355566148921e-01 5.782156208904030148e-01 1.817956018219515357e-01
4.201757290998922589e-01 6.617795218399999957e-01 5.427320536177520083e-01 5.827781022680316170e-01 1.817956018219515357e-01
4.324971635754167876e-01 6.702842154400000529e-01 5.479859517246070677e-01 5.873103520858763416e-01 1.817956018219515357e-01
4.451799177013168185e-01 6.789482187180000405e-01 5.533163271314964771e-01 5.918120666444247613e-01 1.817956018219515357e-01
4.582345869882053502e-01 6.877745514299999918e-01 5.587242930646952876e-01 5.962829582853370614e-01 1.817956018219515357e-01
